id,danceability,energy,song_key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,featured,cleaned_name,cleaned_artists,cleaned_artists_2,duration_s,duration_m
3V8UKqhEK5zBkBb6d6ub8,0.90299999713897705,0.67500001192092896,11,-3.4449999332427979,0,0.21400000154972076,0.54199999570846558,1.2800000149582047E-5,0.05950000137090683,0.44200000166893005,96.507003784179688,417920,4,0,te bot? - remix,nio garcia,,417,6.97
7uzmGiiJyRfuViKKK3lVm,0.70999997854232788,0.78899997472763062,4,-3.874000072479248,1,7.2200000286102295E-2,1.6100000590085983E-2,2.770000037344289E-6,0.45100000500679016,0.71700000762939453,142.92900085449219,131064,4,0,mine,bazzi,,131,2.18
2iUXsYOEPhVqEBwsqP70r,0.59600001573562622,0.85399997234344482,7,-5.1139998435974121,0,0.46299999952316284,1.6899999231100082E-2,0,0.12399999797344208,0.15199999511241913,120.27400207519531,203418,4,0,youngblood,5 seconds of summer,,203,3.39
2xJCMIJfcNYDc5iR0sAm2,0.76200002431869507,0.69999998807907104,9,-6.0209999084472656,0,6.9399997591972351E-2,2.6100000832229853E-3,1.5600000551785342E-5,0.15299999713897705,0.60799998044967651,116.072998046875,209320,4,0,new rules,dua lipa,,209,3.49
7qiZfU4dY1lWllzX7mPBI,0.82499998807907104,0.65200001001358032,1,-3.1830000877380371,0,0.08020000159740448,0.58099997043609619,0,9.3099996447563171E-2,0.9309999942779541,95.976997375488281,233713,4,0,shape of you,ed sheeran,,233,3.90
45Egmo7icyopuzJN0oMEd,0.70800000429153442,0.64800000190734863,6,-5.625999927520752,1,4.4900000095367432E-2,9.5600001513957977E-2,0,0.13400000333786011,0.33799999952316284,143.95500183105469,201707,4,1,love lies,khalid,(with normani),201,3.36
4e4fqjx0Izh4svvTef1z7,0.64200001955032349,0.7720000147819519,10,-6.6100001335144043,1,8.4799997508525848E-2,4.7600001096725464E-2,0,6.4599998295307159E-2,0.58899998664855957,153.9949951171875,164205,4,1,meant to be,bebe rexha,(feat. florida georgia line),164,2.74
7m9OqQk4RVRkw9JJdeAw9,0.87199997901916504,0.39100000262260437,0,-9.1440000534057617,0,0.24199999868869781,0.46900001168251038,4.129999979340937E-6,0.29699999094009399,0.43700000643730164,134.02099609375,119133,4,0,jocelyn flores,xxxtentacion,,119,1.99
0tgVpDi06FyKpA1z0VMD4,0.59899997711181641,0.44800001382827759,8,-6.3119997978210449,1,2.3199999704957008E-2,0.16300000250339508,0,0.10599999874830246,0.1679999977350235,95.050003051757813,263400,3,0,perfect,ed sheeran,,263,4.39
5IaHrVsrferBYDm0bDyAB,0.88400000333786011,0.55900001525878906,0,-7.4419999122619629,1,0.11999999731779099,2.3600000888109207E-2,0,0.10100000351667404,0.34200000762939453,97.994003295898438,232959,4,1,taste,tyga,(feat. offset),232,3.88
6kPJZM97LwdG9QIsT7khp,0.7369999885559082,0.63599997758865356,11,-4.5460000038146973,0,4.3699998408555984E-2,4.4100001454353333E-2,6.6599997808225453E-5,0.34999999403953552,0.56499999761581421,105.00499725341797,222653,4,1,solo,clean bandit,(feat. demi lovato),222,3.71
75ZvA4QfFiZvzhj2xkaWA,0.5559999942779541,0.53799998760223389,8,-5.4079999923706055,0,3.8199998438358307E-2,0.06889999657869339,0,0.19599999487400055,0.29100000858306885,143.94999694824219,223347,4,0,i fall apart,post malone,,223,3.72
